Id;País;1970;1970;1971;1971;1972;1972;1973;1973;1974;1974;1975;1975;1976;1976;1977;1977;1978;1978;1979;1979;1980;1980;1981;1981;1982;1982;1983;1983;1984;1984;1985;1985;1986;1986;1987;1987;1988;1988;1989;1989;1990;1990;1991;1991;1992;1992;1993;1993;1994;1994;1995;1995;1996;1996;1997;1997;1998;1998;1999;1999;2000;2000;2001;2001;2002;2002;2003;2003;2004;2004;2005;2005;2006;2006;2007;2007;2008;2008;2009;2009;2010;2010;2011;2011;2012;2012;2013;2013;2014;2014;2015;2015;2016;2016;2017;2017;2018;2018;2019;2019;2020;2020;2021;2021;2022;2022;2023;2023;2024;2024
1;Africa do Sul; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 42.661,00 ; 99.201,00 ; 32.194,00 ; 106.317,00 ; 157.239,00 ; 305.701,00 ; 303.489,00 ; 665.101,00 ; 407.413,00 ; 775.421,00 ; 358.870,00 ; 1.164.032,00 ; 386.425,00 ; 1.320.244,00 ; 315.380,00 ; 1.151.699,00 ; 493.093,00 ; 1.931.449,00 ; 966.276,00 ; 3.600.658,00 ; 507.509,00 ; 2.136.394,00 ; 722.327,00 ; 3.041.449,00 ; 475.331,00 ; 1.985.184,00 ; 722.715,00 ; 3.033.932,00 ; 743.335,00 ; 2.996.543,00 ; 578.829,00 ; 1.686.226,00 ; 1.138.732,00 ; 3.241.298,00 ; 1.127.053,00 ; 3.574.371,00 ; 1.092.042,00 ; 3.604.038,00 ; 627.150,00 ; 1.701.072,00 ; 859.169,00 ; 2.508.140,00 ; 738.116,00 ; 2.266.827,00 ; 522.733,00 ; 1.732.850,00 ; 658.238,00 ; 2.133.775,00 
2;Alemanha; 52.297,00 ; 30.498,00 ; 34.606,00 ; 26.027,00 ; 134.438,00 ; 92.103,00 ; 111.523,00 ; 98.638,00 ; 219.173,00 ; 202.502,00 ; 134.354,00 ; 149.931,00 ; 168.134,00 ; 171.308,00 ; 160.926,00 ; 201.840,00 ; 437.831,00 ; 668.631,00 ; 433.478,00 ; 691.404,00 ; 457.033,00 ; 704.307,00 ; 707.194,00 ; 853.830,00 ; 996.948,00 ; 1.126.928,00 ; 850.055,00 ; 908.380,00 ; 586.645,00 ; 564.129,00 ; 1.069.717,00 ; 1.122.438,00 ; 2.357.113,00 ; 3.008.737,00 ; 1.307.519,00 ; 1.863.924,00 ; 2.029.271,00 ; 2.757.417,00 ; 2.885.143,00 ; 4.074.739,00 ; 3.342.223,00 ; 5.875.679,00 ; 3.096.425,00 ; 4.545.305,00 ; 2.515.557,00 ; 3.644.055,00 ; 5.721.360,00 ; 7.155.615,00 ; 11.047.710,00 ; 16.068.528,00 ; 11.919.346,00 ; 19.758.144,00 ; 8.680.860,00 ; 10.629.243,00 ; 4.867.017,00 ; 5.108.215,00 ; 3.014.081,00 ; 4.834.030,00 ; 2.576.557,00 ; 4.539.354,00 ; 1.164.724,00 ; 1.668.539,00 ; 909.077,00 ; 1.169.872,00 ; 759.712,00 ; 829.695,00 ; 573.198,00 ; 629.664,00 ; 420.075,00 ; 550.750,00 ; 253.685,00 ; 382.599,00 ; 314.749,00 ; 634.870,00 ; 234.006,00 ; 647.626,00 ; 293.935,00 ; 1.063.825,00 ; 56.075,00 ; 291.876,00 ; 192.661,00 ; 784.674,00 ; 198.025,00 ; 933.545,00 ; 113.243,00 ; 591.167,00 ; 114.866,00 ; 414.070,00 ; 115.804,00 ; 483.316,00 ; 95.171,00 ; 358.275,00 ; 158.386,00 ; 606.333,00 ; 83.289,00 ; 315.959,00 ; 142.971,00 ; 516.975,00 ; 101.055,00 ; 412.794,00 ; 136.992,00 ; 504.168,00 ; 106.541,00 ; 546.967,00 ; 92.600,00 ; 438.595,00 ; 102.456,00 ; 557.947,00 ; 121.002,00 ; 805.466,00 
3;Argélia; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 43,00 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
4;Arábia Saudita; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 43,00 ; -   ; -   ; 563,00 ; 3.249,00 ; -   ; -   ; -   ; -   ; 2.510,00 ; 8.761,00 ; -   ; -   ; 8,00 ; 161,00 ; -   ; -   
5;Argentina; 19.525,00 ; 12.260,00 ; 24.942,00 ; 15.022,00 ; 104.906,00 ; 58.137,00 ; 116.887,00 ; 76.121,00 ; 215.930,00 ; 167.473,00 ; 145.823,00 ; 90.855,00 ; 348.653,00 ; 277.507,00 ; 408.399,00 ; 395.615,00 ; 614.134,00 ; 709.813,00 ; 646.978,00 ; 888.941,00 ; 298.471,00 ; 479.464,00 ; 131.738,00 ; 209.173,00 ; 191.972,00 ; 264.487,00 ; 132.634,00 ; 188.625,00 ; 42.438,00 ; 64.603,00 ; 114.570,00 ; 164.424,00 ; 170.413,00 ; 242.678,00 ; 98.854,00 ; 136.841,00 ; 414.931,00 ; 590.758,00 ; 716.062,00 ; 1.153.585,00 ; 455.774,00 ; 721.398,00 ; 852.441,00 ; 1.493.649,00 ; 444.896,00 ; 815.668,00 ; 359.542,00 ; 795.068,00 ; 446.315,00 ; 730.091,00 ; 1.397.904,00 ; 1.992.083,00 ; 779.008,00 ; 1.438.076,00 ; 1.013.306,00 ; 2.089.559,00 ; 1.295.190,00 ; 3.073.775,00 ; 2.475.780,00 ; 5.284.871,00 ; 2.724.941,00 ; 6.556.544,00 ; 2.585.537,00 ; 6.196.286,00 ; 3.867.336,00 ; 6.894.469,00 ; 5.720.024,00 ; 9.653.634,00 ; 10.202.602,00 ; 17.142.493,00 ; 10.845.213,00 ; 21.623.751,00 ; 11.939.727,00 ; 25.822.840,00 ; 15.621.172,00 ; 36.160.548,00 ; 14.417.761,00 ; 37.382.581,00 ; 13.902.750,00 ; 38.521.731,00 ; 16.965.266,00 ; 52.126.581,00 ; 16.673.491,00 ; 58.806.736,00 ; 14.613.839,00 ; 55.633.562,00 ; 12.732.815,00 ; 49.524.694,00 ; 13.437.321,00 ; 53.815.956,00 ; 12.465.041,00 ; 48.043.201,00 ; 14.098.009,00 ; 45.214.862,00 ; 15.461.740,00 ; 51.770.842,00 ; 15.221.318,00 ; 52.817.642,00 ; 16.548.931,00 ; 54.527.380,00 ; 22.610.267,00 ; 66.322.932,00 ; 26.869.241,00 ; 79.527.959,00 ; 27.980.574,00 ; 87.519.642,00 ; 25.276.991,00 ; 83.918.138,00 ; 26.272.478,00 ; 93.869.579,00 
6;Armênia; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2.385,00 ; 13.668,00 ; 3.542,00 ; 24.336,00 ; -   ; -   
7;Austrália; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 130.097,00 ; 446.892,00 ; 179.310,00 ; 636.740,00 ; 148.916,00 ; 446.693,00 ; 126.441,00 ; 344.316,00 ; 192.539,00 ; 561.291,00 ; 324.162,00 ; 901.226,00 ; 254.407,00 ; 1.059.677,00 ; 363.611,00 ; 1.583.361,00 ; 215.135,00 ; 1.248.671,00 ; 270.908,00 ; 998.680,00 ; 405.271,00 ; 1.864.846,00 ; 824.440,00 ; 2.811.273,00 ; 615.334,00 ; 2.474.783,00 ; 553.190,00 ; 1.703.815,00 ; 236.742,00 ; 1.008.851,00 ; 395.030,00 ; 1.261.810,00 ; 498.515,00 ; 1.537.834,00 ; 354.641,00 ; 1.246.545,00 ; 3.518,00 ; 21.664,00 ; 16.292,00 ; 1.214.643,00 ; 212.595,00 ; 792.051,00 ; 366.875,00 ; 1.383.093,00 ; 579.279,00 ; 1.590.059,00 ; 432.829,00 ; 1.568.550,00 ; 422.720,00 ; 1.437.842,00 
8;Áustria; 1.328,00 ; 707,00 ; -   ; -   ; 353,00 ; 520,00 ; 2.310,00 ; 2.081,00 ; 5.301,00 ; 7.394,00 ; 8.835,00 ; 5.560,00 ; -   ; -   ; -   ; -   ; 600,00 ; 386,00 ; 4.250,00 ; 3.756,00 ; 2.385,00 ; 5.878,00 ; -   ; -   ; -   ; -   ; 8.400,00 ; 7.581,00 ; -   ; -   ; 11.830,00 ; 5.016,00 ; 1.740,00 ; 3.508,00 ; 2.520,00 ; 7.650,00 ; 1.800,00 ; 7.045,00 ; -   ; -   ; -   ; -   ; 6.180,00 ; 21.658,00 ; -   ; -   ; 3.580,00 ; 5.128,00 ; 910,00 ; 5.612,00 ; 1.080,00 ; 6.205,00 ; -   ; -   ; 4.404,00 ; 10.594,00 ; 8.926,00 ; 59.378,00 ; 83.930,00 ; 661.104,00 ; -   ; -   ; 770,00 ; -   ; -   ; -   ; -   ; -   ; 1.170,00 ; 24.677,00 ; 1.688,00 ; 17.321,00 ; 1.351,00 ; 8.359,00 ; 1.688,00 ; 35.247,00 ; 11.388,00 ; 73.348,00 ; 1.895,00 ; 12.073,00 ; 2.329,00 ; 30.075,00 ; 6.357,00 ; 56.227,00 ; 8.098,00 ; 85.116,00 ; 56.849,00 ; 227.204,00 ; 2.770,00 ; 32.116,00 ; 360,00 ; 3.891,00 ; 1.485,00 ; 7.551,00 ; 2.655,00 ; 24.629,00 ; 513.995,00 ; 1.567.866,00 ; 348.289,00 ; 128.379,00 ; 6.540,00 ; 52.348,00 ; 13.427,00 ; 141.822,00 ; 7.403,00 ; 53.974,00 ; 16.832,00 ; 145.475,00 ; 17.796,00 ; 104.965,00 
9;Bermudas; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10,00 ; 141,00 ; 1,00 ; 4,00 ; 6,00 ; 879,00 ; -   ; -   
